TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,243,484.22778396,2.3962173462,2.0952148438,6.0200500488
BATT_MODEL_RAW:,244,486.22874714,2.3952827454,2.0942001343,6.0216522217
BATT_MODEL_RAW:,245,488.22941116,2.394367218,2.0932235718,6.0228729248
BATT_MODEL_RAW:,246,490.23021646,2.3935089111,2.0922927856,6.0243225098
BATT_MODEL_RAW:,247,492.23115748,2.3926239014,2.0914039612,6.0243988037
BATT_MODEL_RAW:,248,494.23214302,2.3917350769,2.090473175,6.0252380371
BATT_MODEL_RAW:,249,496.2332103,2.390750885,2.0894050598,6.0269165039
BATT_MODEL_RAW:,250,498.23440016,2.3899345398,2.0885353088,6.0279846191
BATT_MODEL_RAW:,251,500.23532968,2.3889122009,2.0874862671,6.0285186768
BATT_MODEL_RAW:,252,502.2363693,2.3880500793,2.086566925,6.0296630859
BATT_MODEL_RAW:,253,504.23661646,2.3871688843,2.0856208801,6.030960083
BATT_MODEL_RAW:,254,506.23776954,2.3862609863,2.084651947,6.0321807861
BATT_MODEL_RAW:,255,508.23811194,2.3853683472,2.083694458,6.0334777832
BATT_MODEL_RAW:,256,510.23835288,2.3844795227,2.0827102661,6.0353851318
BATT_MODEL_RAW:,257,512.23949888,2.3836135864,2.0818138123,6.0359954834
BATT_MODEL_RAW:,258,514.23974462,2.3827590942,2.0808296204,6.0385894775
BATT_MODEL_RAW:,259,516.24051248,2.3819999695,2.080039978,6.0391998291
BATT_MODEL_RAW:,260,518.24100724,2.3809967041,2.0789146423,6.0416412354
BATT_MODEL_RAW:,261,520.24211278,2.3801841736,2.0780220032,6.0432434082
BATT_MODEL_RAW:,262,522.24308454,2.3793182373,2.0770988464,6.0443878174
BATT_MODEL_RAW:,263,524.24408554,2.3784484863,2.0761489868,6.0459899902
BATT_MODEL_RAW:,264,526.2450372,2.3776321411,2.0752601624,6.0474395752
BATT_MODEL_RAW:,265,528.24566166,2.3767433167,2.0742530823,6.0498046875
BATT_MODEL_RAW:,266,530.2468096,2.3760490417,2.0735473633,6.0500335693
BATT_MODEL_RAW:,267,532.24738192,2.3750839233,2.0725021362,6.0516357422
BATT_MODEL_RAW:,268,534.24819124,2.3744125366,2.0718460083,6.0513305664
BATT_MODEL_RAW:,269,536.2486563,2.3734550476,2.0708084106,6.0529327393
BATT_MODEL_RAW:,270,538.24908358,2.3725738525,2.0698623657,6.0542297363
BATT_MODEL_RAW:,271,540.24946994,2.3717384338,2.068977356,6.0552215576
BATT_MODEL_RAW:,272,542.25027014,2.3709182739,2.0681037903,6.0562896729
BATT_MODEL_RAW:,273,544.2514003,2.3701934814,2.0673370361,6.0571289063
BATT_MODEL_RAW:,274,546.25256808,2.36926651,2.0663452148,6.0584259033
BATT_MODEL_RAW:,275,548.25346148,2.3685646057,2.065662384,6.0580444336
BATT_MODEL_RAW:,276,550.25410022,2.3677749634,2.0647468567,6.0605621338
BATT_MODEL_RAW:,277,552.25484754,2.3667907715,2.0637969971,6.0598754883
BATT_MODEL_RAW:,278,554.25549262,2.3659248352,2.0628471375,6.0615539551
BATT_MODEL_RAW:,279,556.25644614,2.3651161194,2.0620346069,6.061630249
BATT_MODEL_RAW:,280,558.25730416,2.3642997742,2.0612030029,6.0619354248
BATT_MODEL_RAW:,281,560.2578457,2.3635444641,2.0603485107,6.0639190674
BATT_MODEL_RAW:,282,562.25820576,2.3626823425,2.0594406128,6.0648345947
BATT_MODEL_RAW:,283,564.25868464,2.3618545532,2.0585441589,6.0662078857
